StudentID,Age,Gender,MaritalStatus,HighSchoolGPA,EntranceScore,StudyProgram,YearOfStudy,Modeofstudy,PartTimeFullTime,Scholarship,FinancialAid,TuitionStatus,UniversityGPA,CourseFailures,AcademicProbation,ClubParticipation,LibraryUses,DistanceFromHome,EmploymentStatus,Churn
1,24,F,Single,89.09,821.52,Engineering,2,Block,Full-time,False,True,Paid,1.87,8,False,Medium,27,493,Unemployed,0
2,21,M,Married,79.17,1355.97,Sciences,4,Conventional,Part-time,True,True,Paid,1.41,2,True,Low,17,53,Employed,1
3,28,M,Single,71.5,1427.23,Engineering,2,Conventional,Part-time,True,False,Paid,2.62,0,True,Low,62,477,Self-employed,1
4,25,M,Married,74.54,814.42,Business,5,Block,Part-time,False,False,Paid,2.16,4,True,High,17,333,Self-employed,0
5,22,M,Single,94.36,1276.02,Business,2,Block,Full-time,True,False,Paid,3.4,3,True,Medium,23,191,Employed,1
6,24,F,Single,78.72,1270.7,Engineering,5,Conventional,Part-time,True,False,Paid,1.02,5,True,High,50,148,Employed,0
7,27,F,Married,68.54,1102.97,Engineering,3,Block,Full-time,True,False,Paid,2.74,1,False,Low,28,730,Employed,1
8,20,F,Divorced,97.38,1399.81,Arts,3,Conventional,Part-time,True,False,Unpaid,2.55,4,False,High,18,446,Employed,1
9,24,F,Divorced,91.86,1142.54,Arts,4,Conventional,Part-time,True,False,Unpaid,3.55,7,True,Low,30,615,Employed,0
10,28,M,Married,62.23,1341.42,Sciences,2,Conventional,Part-time,True,False,Unpaid,2.73,7,False,Low,94,636,Employed,1
11,28,M,Married,99.96,1213.69,Engineering,3,Conventional,Part-time,True,False,Paid,3.99,1,True,Low,85,524,Employed,0
12,25,M,Divorced,87.8,998.77,Sciences,1,Block,Full-time,False,True,Paid,1.08,2,False,Low,28,722,Unemployed,1
13,22,M,Divorced,66.41,1285.2,Arts,1,Block,Full-time,True,True,Unpaid,2.51,8,True,High,19,313,Unemployed,1
