StudentID,Age,Gender,MaritalStatus,HighSchoolGPA,EntranceScore,StudyProgram,YearOfStudy,Modeofstudy,PartTimeFullTime,Scholarship,FinancialAid,TuitionStatus,UniversityGPA,CourseFailures,AcademicProbation,LibraryUses,DistanceFromHome,EmploymentStatus,Churn
1,20,M,Divorced,99.58224339489604,871.5450963649124,Banking and Finance,3,Block,Full-time,False,True,Paid,1.5761810207552762,2,True,1,124.45685773363302,Employed,True
2,18,Other,Divorced,91.91005201145616,880.5929366159465,Marketing Management,2,Distance,Part-time,True,False,Unpaid,2.15015681769733,3,False,25,409.5359423057544,Unemployed,True
3,19,M,Divorced,94.49418974928756,825.9916473857724,Office Management,2,Block,Full-time,True,False,Exempt,0.7653568120053627,9,False,13,401.52306327993676,Unemployed,True
4,21,Other,Single,88.90639236447504,830.0620559855643,Risk Management and Insurance,4,Block,Part-time,True,True,Exempt,1.0267512748103225,6,True,17,472.7252750588944,Unemployed,True
5,21,Other,Married,81.20731687030114,866.1154269719093,Economics and Finance,1,Block,Part-time,False,True,Unpaid,0.4993699992351779,9,False,37,498.77388080868013,Unemployed,True
6,24,F,Divorced,95.95198698979577,869.5585174303544,Development Studies,2,Block,Full-time,False,False,Unpaid,2.853525639542994,5,True,31,488.13503162056094,Unemployed,True
7,20,F,Single,80.69997682527972,870.409968439745,History,1,Block,Full-time,True,True,Unpaid,1.446207706144532,2,True,13,205.06899286072073,Employed,True
8,19,F,Married,94.01315657775709,868.2698504775836,Local Governance Studies,2,Block,Full-time,False,False,Paid,0.8810646127351536,6,False,29,125.16422190101612,Student,False
9,23,M,Married,80.45843146299273,839.2807716952539,Economics,3,Block,Part-time,False,True,Paid,2.02929659672381,3,True,12,379.20509521353125,Unemployed,False
10,19,M,Divorced,97.2461047315334,839.4853674403678,Local Governance Studies,2,Block,Part-time,True,True,Paid,0.2729972227409907,9,False,39,149.6364463720154,Student,False
11,22,F,Single,83.15272071665962,825.4817623644382,Economics,2,Distance,Part-time,True,True,Paid,3.693626425273579,7,True,30,403.2001800656649,Student,True
12,18,M,Married,90.28542990885103,815.6833699896363,Information Systems,1,Distance,Full-time,False,True,Paid,1.177870084629057,6,False,36,266.9773651989622,Employed,True
13,24,M,Single,91.94301408966295,869.2577379396905,Information Systems,3,Distance,Full-time,False,False,Exempt,3.5458573927354484,6,False,44,396.96363761747693,Student,False
14,21,Other,Married,89.15090814746824,809.3188785972313,Banking and Finance,4,Block,Full-time,False,False,Exempt,1.990480261298588,8,False,37,137.93993985850523,Unemployed,True
15,20,M,Divorced,86.81526978697775,893.7792286786781,Business Management,1,Distance,Part-time,True,True,Exempt,3.400601990842562,7,False,21,254.01365777691043,Unemployed,True
16,19,Other,Divorced,89.35628592361944,882.6686303671452,XiChangana,3,Distance,Part-time,False,True,Unpaid,0.988257763158578,0,False,27,282.011896801091,Unemployed,False
17,21,F,Married,86.22831507762318,885.7505739957256,Hospitality Tourism and Culture,3,Block,Full-time,False,True,Exempt,0.7010824089710121,6,False,18,471.55403386006606,Unemployed,False
18,20,M,Single,88.76244694161727,890.666881461519,Business Management,1,Distance,Full-time,False,True,Unpaid,3.3976472129393134,2,True,42,133.29878841520863,Employed,True
19,21,Other,Married,87.17825981996062,840.860497072324,Accounting,2,Block,Full-time,False,False,Exempt,0.8516955294868436,3,True,15,468.3441196424473,Student,True
20,20,M,Single,91.3240964701429,884.6700723350401,Accounting,3,Distance,Part-time,True,False,Paid,2.9847813971983204,5,False,4,402.42945773285794,Employed,True
21,21,Other,Married,84.75848324489967,815.8061300291649,Sociology,4,Distance,Part-time,True,True,Exempt,1.3783351786385296,4,False,43,365.44702704334765,Student,False
22,23,Other,Divorced,99.77313109828025,802.1641794608236,Hospitality Tourism and Culture,2,Distance,Full-time,True,False,Paid,2.9927749057406454,7,True,48,393.4351345925626,Employed,False
23,22,M,Single,90.01739906764331,878.489139466385,Fiscal Studies,1,Distance,Full-time,False,False,Paid,3.630585063953321,1,True,1,302.71252294002846,Employed,True
24,18,F,Divorced,83.88324154829019,807.479664799694,"Peace, Conflict and Governance",1,Distance,Full-time,True,True,Exempt,3.9265537251491724,4,True,9,122.04000523124292,Employed,False
25,21,Other,Single,89.54133499134545,898.8524667325921,Information Systems,1,Block,Part-time,False,True,Exempt,1.4392379090745337,4,True,46,94.74748441992637,Unemployed,False
26,18,F,Married,97.32830259049649,867.4796429601556,Economics and Finance,1,Distance,Part-time,False,True,Paid,1.470103338562185,2,True,18,433.1707179251952,Unemployed,True
27,21,M,Divorced,80.43613586248792,875.3449710242105,"Peace, Conflict and Governance",4,Block,Part-time,True,False,Unpaid,3.9255509471394183,9,False,19,362.5697012979166,Employed,True
28,24,M,Divorced,93.59108238214577,824.5803856277865,Human Resources Management,4,Distance,Full-time,False,False,Unpaid,3.4461125211921533,4,True,28,106.60214138047452,Student,True
29,19,F,Single,90.95935593587856,867.3865393919688,History,3,Block,Full-time,False,False,Exempt,0.18036788764551215,3,True,24,307.5466829372008,Student,True
30,22,M,Single,83.39115988740271,804.3219937254958,Religious Studies & Philosophy,4,Distance,Full-time,False,False,Paid,2.2937999449060817,4,True,16,223.7732407071119,Unemployed,True
31,24,Other,Single,96.34952878609842,883.7825719923601,Geography and Environmental Science,1,Distance,Full-time,True,True,Unpaid,0.7249790861937533,9,False,12,79.32758498154696,Employed,True
32,23,F,Divorced,87.37769244748011,816.9624093031573,Finance,4,Distance,Full-time,True,True,Exempt,3.976050144372874,8,True,44,265.9285546785822,Unemployed,True
33,22,M,Married,85.87604057631015,869.7358066833771,Internal Auditing,2,Distance,Full-time,True,True,Exempt,0.5556920494838948,6,True,15,140.75954623320862,Unemployed,False
34,18,M,Single,96.56250383713802,822.4480501232729,Local Governance Studies,2,Distance,Full-time,True,False,Paid,2.2373904501714663,0,False,34,48.122062078785774,Unemployed,True
35,19,F,Married,92.7705009238333,806.8453169426043,Religious Studies & Philosophy,3,Block,Full-time,True,True,Unpaid,2.6607934801167326,2,False,35,233.4791492727054,Employed,False
36,20,Other,Single,97.96518167349649,848.1493678549394,Media and Cultural Studies,1,Distance,Full-time,True,True,Exempt,3.7482586186162252,8,True,38,295.0542760467809,Employed,True
37,24,F,Married,92.59767407342399,816.928621027279,Economics and Finance,4,Distance,Full-time,True,False,Unpaid,3.389033246576748,3,False,2,23.453205190575254,Unemployed,False
38,22,M,Single,94.8163531586423,872.944398832655,Economics and Finance,3,Block,Full-time,True,True,Exempt,0.983019085311132,3,True,8,201.0463747054984,Employed,True
39,23,M,Married,96.72891792519226,823.7565843383485,English & Applied Communication,3,Distance,Part-time,True,False,Exempt,2.290495805170018,9,True,39,128.83095991834264,Student,False
