StudentID,Age,Gender,MaritalStatus,HighSchoolGPA,EntranceScore,StudyProgram,YearOfStudy,Modeofstudy,PartTimeFullTime,Scholarship,FinancialAid,TuitionStatus,UniversityGPA,CourseFailures,AcademicProbation,LibraryUses,DistanceFromHome,EmploymentStatus,Churn
1,21,M,Single,86.80549207275318,844.7658528233002,Science,4,Distance,Full-time,False,False,Paid,1.8698677113582467,5,False,21,288.81290255951785,Student,True
2,18,M,Single,98.65685563240268,813.636976861425,Engineering,3,Block,Full-time,True,True,Paid,1.4724503529680195,0,False,33,207.4003413933489,Employed,False
3,20,M,Married,99.48074679927272,857.5783649347114,Science,4,Distance,Part-time,True,False,Unpaid,2.3596424866495127,2,True,4,314.9815685679769,Unemployed,True
4,24,Other,Divorced,91.44596547209447,862.9635241282367,Science,1,Distance,Full-time,False,False,Exempt,2.4133954554555204,9,True,43,135.96326577382146,Unemployed,True
5,19,F,Single,94.33062576288475,814.8964257690516,Engineering,1,Block,Full-time,False,True,Paid,3.6496326770082153,4,False,12,25.18819110641224,Student,False
6,23,Other,Married,80.86806821717396,823.8192416379644,Engineering,4,Block,Part-time,False,True,Unpaid,3.863820512027199,2,True,8,206.97573924331587,Employed,True
7,24,Other,Divorced,89.90952151824554,893.0236885848822,Science,3,Distance,Full-time,False,True,Exempt,0.7757552830984804,6,True,22,115.60691848714222,Student,True
8,20,F,Divorced,91.8367888475141,842.5744621464185,Arts,3,Distance,Part-time,True,True,Unpaid,1.2812176704248555,1,False,0,230.20824545888811,Student,True
9,20,Other,Married,90.60817443848848,865.4697328997111,Business,3,Block,Full-time,True,True,Exempt,1.5746528205942791,8,False,21,210.21787450945683,Employed,False
10,22,M,Single,94.24171449906757,899.475677475664,Science,4,Distance,Part-time,True,False,Unpaid,1.7252468663056844,0,True,44,63.00749677892059,Employed,True
11,18,Other,Single,88.44023133251646,853.5143589413103,Science,3,Block,Full-time,False,True,Paid,0.42668808998588004,8,False,21,56.715373004211585,Employed,True
12,19,F,Divorced,86.95942437535967,803.3219129819165,Arts,2,Block,Part-time,True,False,Paid,2.5083023675087808,0,False,31,274.4734616032289,Employed,False
13,18,Other,Divorced,84.95589718558841,895.7721451324868,Business,4,Distance,Full-time,False,False,Paid,3.203416121055421,1,True,21,281.5356987102485,Unemployed,True
14,20,F,Divorced,91.88411072350151,844.4304404541367,Business,1,Distance,Part-time,False,True,Exempt,0.46586670349039805,0,True,32,25.263138569267205,Unemployed,False
15,18,F,Divorced,91.75139724613855,858.8336555860321,Business,4,Distance,Part-time,True,False,Exempt,1.19899174735703,2,False,33,307.62983175869147,Student,True
16,22,M,Divorced,90.64652424028436,816.5258931075906,Science,1,Block,Full-time,True,False,Exempt,2.7696145169053685,6,True,19,41.708156846067936,Unemployed,True
17,22,Other,Single,99.86596094514252,825.726353382748,Engineering,2,Block,Full-time,False,False,Exempt,3.715703468424449,8,False,12,216.42829755980563,Unemployed,True
18,21,M,Single,86.6686307251022,892.684178470252,Science,4,Block,Full-time,False,True,Unpaid,3.5417315335516193,1,False,42,212.01871809859506,Unemployed,True
19,21,M,Divorced,93.08344160949643,892.275307740922,Engineering,2,Block,Part-time,True,False,Paid,1.4579446336850181,4,True,35,169.30432519526528,Employed,True
20,21,M,Divorced,91.9203024917355,836.8078429357653,Arts,2,Block,Full-time,False,False,Exempt,0.8268477571949755,9,True,37,300.7812252469167,Employed,False
21,19,Other,Married,85.7151168372679,888.9372969682523,Engineering,4,Block,Full-time,False,False,Unpaid,2.8742870599366226,2,True,28,391.18659983262677,Employed,True
22,20,F,Divorced,91.03112317542313,800.0345725768238,Science,2,Block,Full-time,False,False,Paid,2.381967013362582,1,True,27,333.7465568697339,Unemployed,True
23,24,Other,Single,90.0359494701336,838.7782196061323,Science,3,Distance,Full-time,True,False,Unpaid,0.3032732708619026,0,True,15,481.1244249134806,Unemployed,True
24,19,Other,Single,98.3584166276598,860.3688736068566,Science,4,Distance,Part-time,False,True,Unpaid,2.1355885390670872,1,True,27,305.78932754153436,Student,False
25,18,M,Married,97.63760466047847,828.222354248985,Engineering,3,Distance,Full-time,False,True,Unpaid,2.4790598357262774,3,False,15,360.29778800578214,Student,False
26,18,F,Single,98.61164579997421,806.4379589392889,Science,2,Block,Part-time,True,False,Exempt,0.5510814629063887,8,False,24,28.15262122302481,Student,False
27,20,Other,Single,86.16044624990136,869.0686286007049,Science,3,Block,Full-time,True,False,Exempt,2.6357341856766774,4,True,37,183.30724883707833,Unemployed,True
28,22,Other,Divorced,97.64769699003233,888.5471780902799,Engineering,4,Block,Part-time,False,False,Unpaid,0.9919784745652795,3,True,0,203.09595077899783,Student,False
29,18,M,Married,81.67208670497162,882.4403368958405,Science,3,Block,Part-time,True,False,Exempt,0.5651229991839517,2,True,3,351.32470023968017,Student,True
30,22,M,Divorced,87.59721055659475,828.3577339693595,Science,2,Block,Full-time,False,False,Exempt,3.188650078466465,8,True,13,464.2577682488375,Student,True
