StudentID,Age,Gender,MaritalStatus,HighSchoolGPA,EntranceScore,StudyProgram,YearOfStudy,Modeofstudy,PartTimeFullTime,Scholarship,FinancialAid,TuitionStatus,UniversityGPA,CourseFailures,AcademicProbation,LibraryUses,DistanceFromHome,EmploymentStatus,Churn
1,24,Other,Married,86.21857860015109,882.4787856277787,Politics and Public Administration,2,Block,Full-time,True,True,Paid,0.7138026963934991,4,False,7,278.3843599487453,Unemployed,True
2,21,M,Divorced,94.84696101145019,851.5659405856453,Hospitality Tourism and Culture,2,Block,Full-time,False,False,Unpaid,0.3183525894881698,8,False,21,205.6275939551645,Employed,False
3,22,Other,Divorced,96.30236768960737,846.3293653272797,"Livestock, Wildlife and Fisheries",1,Distance,Full-time,True,True,Exempt,3.7615881357821768,8,True,28,230.1686158013676,Employed,False
4,24,F,Divorced,92.29956480682264,804.5403281468692,Gender and Social Anthropology,4,Distance,Part-time,False,False,Unpaid,1.042665530248407,5,False,1,58.008693561501566,Employed,False
5,20,F,Single,93.7576821975983,829.0029193648905,Development Studies,2,Block,Full-time,False,True,Paid,3.4133859904348953,0,False,40,336.4589121434882,Employed,True
6,22,F,Married,87.50519808885332,893.10099708853,Soil and Plant Sciences,1,Block,Full-time,False,False,Exempt,3.453965801851273,9,False,48,216.22367980260688,Unemployed,True
7,22,M,Single,90.77391334686078,839.18239632835,Transport and Logistics,4,Block,Full-time,False,False,Exempt,3.090090367050178,6,False,49,408.38378656479165,Unemployed,False
8,24,F,Single,90.48318341452324,854.6700520556768,Hospitality Tourism and Culture,2,Block,Part-time,False,False,Unpaid,0.6753344266102803,5,True,44,98.14360007153805,Employed,True
9,19,M,Divorced,96.96095582261543,853.2021678984252,Development Studies,3,Distance,Part-time,True,False,Unpaid,3.2872058370168014,8,False,0,102.52754670941788,Employed,False
10,20,F,Single,96.79927960564365,859.0431089822694,Local Governance Studies,1,Block,Part-time,True,True,Exempt,3.077002236966347,6,False,43,322.87978576534385,Student,False
11,24,F,Divorced,96.65360938694087,806.1330955643283,Business Management,1,Block,Full-time,False,True,Unpaid,2.3868919604248684,3,False,19,423.00171169869844,Student,False
12,20,M,Married,80.22063228524931,836.2176254798728,Musicology and Ethnochoreology,2,Block,Part-time,False,False,Paid,1.348808140675811,6,False,20,236.09891930908765,Employed,True
13,20,M,Divorced,94.99090968937776,872.3128273882554,Local Governance Studies,2,Distance,Full-time,True,False,Unpaid,1.0500344170661764,1,False,36,363.47693436655,Unemployed,True
14,22,F,Single,95.1735278022201,820.0560251072983,Media and Cultural Studies,1,Block,Full-time,True,False,Unpaid,0.48755684832143587,5,False,7,499.6649607465428,Employed,True
15,21,M,Single,93.56757645710283,820.3578377546361,Urban Planning and Development,3,Distance,Full-time,False,False,Exempt,2.0390282676034857,5,True,26,495.13281986446407,Unemployed,False
16,20,F,Divorced,95.12529315782905,801.0090606689025,Religious Studies & Philosophy,3,Distance,Part-time,False,True,Unpaid,2.341043502039386,1,True,46,372.16842141085004,Unemployed,True
17,23,M,Divorced,96.83940742993417,843.748192660821,Economics and Finance,4,Distance,Part-time,True,False,Unpaid,1.4373559620631489,3,True,34,369.7932448391244,Student,True
18,22,Other,Single,89.40638108203571,888.2734380673422,Development Studies,2,Distance,Full-time,True,False,Unpaid,1.9014362707234742,7,False,5,123.80944359945283,Employed,True
19,19,Other,Married,90.04100426976895,805.1900943587309,Computer Sciences,3,Distance,Full-time,False,False,Paid,1.4540578294770667,7,False,44,416.7698157718869,Employed,True
20,21,Other,Married,82.4942811382278,819.1118709496003,Religious Studies,4,Distance,Part-time,True,False,Unpaid,2.564024229282805,7,False,43,202.5510635235603,Unemployed,False
21,23,Other,Divorced,87.70751766094723,831.0084538342755,Banking and Finance,3,Distance,Part-time,True,False,Paid,3.6050368311862533,7,True,18,480.9969549334113,Employed,True
22,23,Other,Married,92.86730359823568,873.1724736564213,Local Governance Studies,2,Block,Part-time,False,False,Paid,0.6556810481877795,0,False,17,40.713844353467756,Student,False
